X,Y,Z,Roll ,Pitch,Yaw
0,0.25,0.001680491,-23.74,-2.15,3.04
55.5,-7.5,0,0,0,0
66.25,199.75,0.035590559,19.67,-0.91,-0.68
-2.5,1.5,-0.004540342,15.49,-3.62,-3.8
-2.25,2,-0.005342259,14.67,-6.69,-0.65
-2.75,2,-0.005209002,13.81,-6.63,-0.63
-2.5,2,-0.005693382,12.69,-0.25,-3.75
-2,2,-0.003894764,11.56,-3.25,-0.6
-2.25,2.5,-0.004618264,10.27,-3.16,-0.57
-2,1.75,-0.002945389,9.01,-3.16,-0.41
-7.75,8.25,-0.009055461,7.03,-0.12,-3.35
-1.75,1,-0.00146157,1.89,-3.15,0.45
-39,-221.5,-0.002466245,3.63,-2.74,-2.72
38,223,-0.001059371,16.54,-1.27,2.64
-1,0,-0.000768559,-0.48,-3.15,0.75
-0.25,0.5,-0.000716304,-0.79,-0.01,-2.33
-0.75,-5.5,-0.012554802,-0.75,-3.1,0.82
-0.5,-0.5,0.001153701,-0.24,-0.02,-2.38
0.25,-0.25,-0.001173431,-0.23,0,-2.38
0.25,-0.25,5.59E-06,-0.32,-3.13,0.75
0,0,0,-0.15,-3.13,0.72
0,-0.5,0.001510119,0.05,-0.01,-2.41
0.5,-0.75,-0.000486694,0.16,0.01,-2.45
-35.25,-214.5,0.012313317,3.12,-2.75,-2.67
36,213.75,-0.013055854,17.1,1.88,-0.51
0.5,-1.75,0.00221091,1.24,0,-2.55
1,-1.5,0.000931414,1.93,0.01,-2.64
-1.5,1.75,0.00176555,2.5,-0.03,-2.73
1.5,-2.5,0.003688396,1.75,-3.12,0.53
3.25,-3,0.004568907,3.25,-3.09,0.34
0.75,-1.25,0.002229354,5.36,-3.12,0.07
2.25,-2.25,0.003240816,6.28,-3.1,-0.05
3.25,-3,0.006662721,8.01,0.04,-3.37
1.25,-1.5,0.001609163,9.8,-3.11,-0.46
-46.75,-196.75,-0.015935522,11.68,-2.92,-3.8
49,195,0.017263334,18.81,2.06,-0.6
2,-0.75,0.004081176,11.77,-3.15,-0.62
2.25,-1,0.00481473,12.8,-3.26,-3.77
2.75,-1,0.004932422,13.7,-3.33,-3.79
2.25,-1,0.00505465,14.72,-3.44,-3.8
2.75,-1.75,0.004344239,15.48,-6.61,-0.69
2.25,-2,0.004814085,16.27,-6.7,-0.71
2.25,-2.75,0.006024351,17.21,-0.49,-0.72
2.25,-3.25,0.004170005,17.84,-0.52,-0.74
2.25,-3.75,0.004778138,18.65,-3.71,2.38
-68.25,-176,-0.083988415,17.47,-3.84,2.42
70.75,171.5,0.049375537,21.64,-3.89,2.36
2.5,-3.75,0.004604242,20.06,-0.64,-0.79
2.5,-3.75,0.005834438,20.69,-3.78,2.32
2.5,-4,0.005520522,21.28,-0.68,-0.84
2.75,-4.25,0.005410699,21.82,-3.81,2.28
2.25,-4.25,0.0058779,22.35,-3.84,2.26
2.5,-3.5,0.005631182,22.88,-0.71,-0.9
2,-4.25,0.004408489,23.28,-0.72,-0.91
2,-3.25,0.004143576,23.67,-0.71,-0.93
9.75,-15,0.018658042,24.95,-3.71,2.12
-97.5,-123.25,-0.224448481,19.36,-4.44,2.42
99,121,0.074850046,25.91,-3.4,2.12
-191.75,50.75,0.114527878,50.83,0,0
74.5,33.5,nan,0,0,0
-188.5,50.25,0.114098604,51.63,0,0
3,-3,0,11.87,0,0
2.5,-2.5,0.006377383,12.06,0,0
3,-3,0,12.29,0,0
2.5,-3,-0.002103977,12.39,0,0
2.5,-3,0.002081535,12.67,0,0
-5,6.5,0.0126445,12.1,0,0
3,-2.5,0.004554057,12.52,0,0
-168.75,-41.75,0.035905943,-39.3,0,0
171.25,39.25,-0.046496966,54.64,0,0
2,-1.5,0.004566619,12.77,0,0
1.5,-1,0.002211062,12.93,0,0
1,-0.5,-0.004686401,12.94,0,0
0,-15.5,-0.009134107,13.53,0,0
2,0,0,13.36,0,0
2,0.5,-0.00450231,13.41,0,0
2,0.5,-4.85E-05,13.56,0,0
1.5,2,0.003266794,-30.3,0,0
3,1.75,0.002243621,15.52,-1.16,-0.76
-182,-26.25,0.043120323,4.84,-2.33,-0.18
184.5,26.75,-0.055524787,14.87,-3.77,-3.91
2.5,4.25,0.002146632,17.82,-1.09,-0.8
3.75,4.75,0.005807473,20.75,-4.07,2.28
81.25,2.75,nan,0,0,0
-161.5,62.5,0.11728574,19.21,-1.13,-0.9
80.25,2.25,0.009299501,39.12,0,0
83.75,-62.25,-964121.0805,28.34,0,0
-157,60.5,0.118652703,19.75,-1.07,-0.93
79,3.5,nan,0,0,0
72.25,1.75,0.009841745,38.59,0,0
81.25,-61.75,-951165.9766,28.33,0,0
-147.5,61,0.125934304,24.27,-3.91,2.05
-212.75,-39.5,-0.019353437,2.41,-5.55,2.92
280,41.25,0.009883257,40.6,0,0
86.25,-44.75,-851903.6304,28.33,0,0
-140.25,54.5,0.121594401,23.61,-3.96,2.07
68.25,4,0,0,0,0
-66,20.5,0,0,0,0
-140.25,53.75,0.121700322,23.87,-0.83,-1.06
68.25,4.5,0,0,0,0
-73.5,57,0,0,0,0
-73,57,0,0,0,0
-72.5,57,0,0,0,0
-72.75,56.75,0,0,0,0
122,114.75,0.094695136,28.51,-3.07,1.93
-71.5,56.5,0,0,0,0
-72.5,56.5,0,0,0,0
-68.5,57.25,0,0,0,0
70.75,14,0,0,0,0
-50.5,51.5,0.004989503,40.19,-2.41,-0.32
50,-46.5,-1985857.864,28.92,-0.53,-1.3
-42,-7,0,0,0,0
-42.5,-7.5,0,0,0,0
-42.75,-8,0,0,0,0
-42,-8,0,0,0,0
-41.5,-7.5,0,0,0,0
22,13,0.012235209,20.1,-3.87,2.39
-239,109.75,0.101052354,3.47,-1.91,-0.24
325.5,70,0,0,0,0
94,30.5,0,0,0,0
93.5,30.5,0,0,0,0
92.5,30.75,0.010342126,-0.73,0,0
-93,-30.75,-269956.9377,56.11,0,0
95.5,32.5,0,0,0,0
-42.25,-6.75,0,0,0,0
-52,52,0,0,0,0
93.5,33,0,0,0,0
93.5,33.75,0,0,0,0
-53.25,51.75,0,0,0,0
-220.75,-38.75,0.074133863,7.37,-5.71,2.41
317.75,75,0,0,0,0
0,0.25,0.000881838,27.27,-0.59,-1.17
0,0,0,27.26,-0.59,-1.17
-0.25,0.25,-0.002798445,27.32,-0.59,-1.17
-0.25,0,2.99E-05,27.17,-3.71,1.97
0,0.25,0.000879952,27.24,-0.59,-1.17
-0.25,0.25,-0.002785521,27.29,-0.59,-1.17
0,-0.5,0.00064077,27.22,-0.59,-1.16
-0.25,-0.5,-0.000607668,27.18,-3.71,1.97
-107.75,-140.75,-0.470496897,20.4,-1.37,-0.78
107.75,140.75,0.091740717,27.65,-3.22,1.97
-0.25,-1,-0.001236158,27.25,-0.6,-1.16
-0.5,-0.5,-0.001832262,27.25,-0.59,-1.16
-0.25,0,4.09E-05,27.1,-3.72,1.97
-152.75,36.5,0.112285804,54.85,0,0
-1,6.5,0.008946414,-28.92,0,0
-180.75,-74.5,0.007453582,7.05,-5.16,2.8
7.25,1.5,-0.008562306,8.76,-1.76,-0.35
7.25,1.5,0.005634945,8.98,-4.79,2.75
7,2,-0.005342446,9.48,-4.84,2.73
63.75,15,0,0,0,0
2.75,4.5,0.005803668,23.72,-0.76,-0.89
-67.25,-51.75,-0.05854941,18.83,-1.15,-0.7
70,56.25,0.039682983,24.22,-3.57,2.24
-217.25,97,0.109970856,15.89,1.97,-0.7
1.25,-11,0.0023467,1.94,-6.99,-0.48
4,3,0,10.74,-4.75,2.65
5,2.5,0.00438814,10.88,-1.6,-0.5
8,16,-0.0002885,20.53,-1.12,-0.73
